genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
carpiodes,cyprinus,catostomidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Carpiodes_cyprinus.html
anampses,melanurus,Labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,15.0,110.0,,,,,,,https://www.fishbase.de/summary/Anampses_melanurus.html
notropis,nazas,holotype,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Notropis_nazas.html
lepidopsetta,polyxystra,pleuronectidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,700.0,19.0,246.0,,,,,https://www.fishbase.ca/summary/Lepidopsetta_polyxystra.html
gracilimugil,argenteus,mugilidae,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Gracilimugil_argenteus.html
schizothorax,prenanti,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Schizothorax_prenanti.html
catostomus,bernardini,Catostomidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Catostomus_bernardini.html
chaetodon,reticulatus,chaetodontidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,40.0,,,,,,,https://www.fishbase.ca/summary/Chaetodon_reticulatus.html
cirrhitichthys,bleekeri,Cirrhitidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Cirrhitichthys_bleekeri.html
trichopsis,vittata,osphronemidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,8.0,5.0,19.0,https://www.fishbase.net.br/summary/Trichopsis_vittata.html
squalidus,japonicus,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Squalidus_japonicus.html
syacium,micrurum,paralichthyidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,?,412.0,?,100.0,,,,,https://www.fishbase.ca/summary/Syacium_micrurum.html
