genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
epinephelus,undulosus,Serranidae,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,24.0,90.0,,,,,,,https://www.fishbase.org/summary/Epinephelus_undulosus.html
cantherhines,dumerilii,monacanthidae,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,0.0,70.0,6.0,35.0,,,,,https://www.fishbase.se/summary/Cantherhines_dumerilii.html
lutjanus,lunulatus,lutjanidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,10.0,30.0,,,,,,,https://www.fishbase.de/summary/Lutjanus_lunulatus.html
plectorhinchus,chaetodonoides,haemulidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,30.0,,,,,,,https://www.fishbase.net.br/summary/Plectorhinchus_chaetodonoides.html
pseudocheilinus,evanidus,labridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,61.0,?,20.0,,,,,https://www.fishbase.ca/summary/Pseudocheilinus_evanidus.html
psenes,cyanophrys,nomeidae,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,20.0,550.0,,,,,,,https://www.fishbase.ca/summary/Psenes_cyanophrys.html
tylochromis,jentinki,cichlidae,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Tylochromis_jentinki.html
bathygobius,fuscus,Gobiidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,6.0,,,,,,,https://www.fishbase.se/summary/Bathygobius_fuscus.html
notolabrus,tetricus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,?,50.0,,,,,,,https://www.fishbase.ca/summary/Notolabrus_tetricus.html
heteropneustes,fossilis,heteropneustidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,?,1.0,,,6.0,8.0,,,https://www.fishbase.de/summary/Heteropneustes_fossilis.html
arothron,hispidus,tetraodontidae,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,50.0,,,,,,,https://www.fishbase.net.br/summary/Arothron_hispidus.html
rasbora,borapetensis,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.5,7.0,,,https://www.fishbase.se/summary/Rasbora_borapetensis.html
coradion,altivelis,chaetodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,30.0,,,,,,,https://www.fishbase.ca/summary/Coradion_altivelis.html
scarus,spinus,Scaridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,30.0,2.0,15.0,,,,,https://www.fishbase.ca/summary/Scarus_spinus.html
pempheris,rhomboidea,pempheridae,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,20.0,?,,,,,,,https://www.fishbase.se/summary/Pempheris_rhomboidea.html
galaxias,maculatus,galaxiidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,https://www.fishbase.se/summary/Galaxias_maculatus.html
halichoeres,hartzfeldii,Labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,10.0,70.0,,,,,,,https://www.fishbase.de/summary/Halichoeres_hartzfeldii.html
amblyeleotris,callopareia,gobiidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,50.0,100.0,,,,,,,https://www.fishbase.net.br/summary/Amblyeleotris_callopareia.html
micropanchax,johnstoni,poeciliidae,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,6.5,7.2,,,https://www.fishbase.ca/summary/Micropanchax_johnstoni.html
parascorpaena,picta,scorpaenidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,?,15.0,,,,,,,https://www.fishbase.ca/summary/Parascorpaena_picta.html
toxotes,microlepis,toxotidae,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,https://www.fishbase.ca/summary/Toxotes_microlepis.html
paracirrhites,forsteri,cirrhitidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,35.0,5.0,35.0,,,,,https://www.fishbase.se/summary/Paracirrhites_forsteri.html
parambassis,gulliveri,ambassidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Parambassis_gulliveri.html
auxis,thazard,scombridae,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,50.0,?,,,,,,,https://www.fishbase.de/summary/Auxis_thazard.html
pseudanthias,hypselosoma,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,6.0,50.0,,,,,,,https://www.fishbase.net.br/summary/Pseudanthias_hypselosoma.html
pungitius,pungitius,Gasterosteidae,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,110.0,70.0,77.0,,,,,https://www.fishbase.se/summary/Pungitius_pungitius.html
notoscopelus,resplendens,nemacheilidae,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,777.0,2121.0,,,,,,,https://www.fishbase.ca/summary/Notoscopelus_resplendens.html
lethrinus,microdon,lethrinidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,10.0,200.0,,,,,,,https://www.fishbase.ca/summary/Lethrinus_microdon.html
luxilus,zonatus,Cyprinidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Luxilus_zonatus.html
paracirrhites,hemistictus,cirrhitidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,20.0,,,,,,,https://www.fishbase.se/summary/Paracirrhites_hemistictus.html
epinnula,magistralis,gempylidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,100.0,185.0,,,,,,,https://www.fishbase.de/summary/Epinnula_magistralis.html
dermogenys,siamensis,zenarchopteridae,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.0,?,,,,,,,https://www.fishbase.net.br/summary/Dermogenys_siamensis.html
ecsenius,aroni,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,10.0,37.0,,,,,,,https://www.fishbase.ca/summary/Ecsenius_aroni.html
setipinna,tenuifilis,engraulidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,50.0,,,,,,,https://www.fishbase.ca/summary/Setipinna_tenuifilis.html
liopropoma,tonstrinum,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,11.0,50.0,,,,,,,https://www.fishbase.ca/summary/Liopropoma_tonstrinum.html
phractolaemus,ansorgii,phractolaemidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,8.0,,,https://www.fishbase.se/summary/Phractolaemus_ansorgii.html
solea,stanalandi,soleidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,7.0,,,,,,,https://www.fishbase.ca/summary/Solea_stanalandi.html
erythrocles,schlegelii,emmelichthyidae,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,100.0,500.0,215.0,300.0,,,,,https://www.fishbase.se/summary/Erythrocles_schlegelii.html
parablennius,thysanius,blenniidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,10.0,,,,,,,https://www.fishbase.de/summary/Parablennius_thysanius.html
tatia,galaxias,auchenipteridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Tatia_galaxias.html
calotomus,japonicus,Scaridae,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Calotomus_japonicus.html
odontanthias,fuscipinnis,serranidae,,1.0,,,,,,,,,,1.0,,,,,,,,,,43.0,260.0,,,,,,,https://www.fishbase.se/summary/Odontanthias_fuscipinnis.html
chaetostoma,lepturum,loricariidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Chaetostoma_lepturum.html
plectorhinchus,gaterinus,Haemulidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,55.0,80.0,,,,,,,https://www.fishbase.ca/summary/Plectorhinchus_gaterinus.html
dischistodus,pseudochrysopoecilus,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,5.0,,,,,,,https://www.fishbase.de/summary/Dischistodus_pseudochrysopoecilus.html
canthigaster,coronata,tetraodontidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,6.0,165.0,,,,,,,https://www.fishbase.net.br/summary/Canthigaster_coronata.html
omobranchus,punctatus,Blenniidae,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Omobranchus_punctatus.html
neopomacentrus,cyanomos,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,5.0,30.0,,,,,,,https://www.fishbase.ca/summary/Neopomacentrus_cyanomos.html
abudefduf,sexfasciatus,Pomacentridae,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,20.0,,,,,,,https://www.fishbase.se/summary/Abudefduf_sexfasciatus.html
ecsenius,namiyei,Blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,30.0,,,,,,,https://www.fishbase.ca/summary/Ecsenius_namiyei.html
cypselurus,opisthopus,exocoetidae,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,0.0,20.0,,,,,,,https://www.fishbase.se/summary/Cypselurus_opisthopus.html
tocantinsia,piresi,auchenipteridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Tocantinsia_piresi.html
nangra,bucculenta,sisoridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Nangra_bucculenta.html
notropis,bifrenatus,Cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_bifrenatus.html
parakneria,abbreviata,kneriidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Parakneria_abbreviata.html
scorpaenopsis,ramaraoi,Scorpaenidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,60.0,,,,,,,https://www.fishbase.se/summary/Scorpaenopsis_ramaraoi.html
pogonoperca,punctata,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,10.0,216.0,10.0,150.0,,,,,https://www.fishbase.ca/summary/Pogonoperca_punctata.html
malakichthys,wakiyae,Acropomatidae,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,?,200.0,,,,,,,https://www.fishbase.de/summary/Malakichthys_wakiyae.html
salarias,nigrocinctus,blenniidae,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Salarias_nigrocinctus.html
cetopsis,sandrae,cetopsidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Cetopsis_sandrae.html
gerres,nigri,gerreidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,?,60.0,,,,,,,https://www.fishbase.ca/summary/Gerres_nigri.html
oxycirrhites,typus,cirrhitidae,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,10.0,100.0,25.0,?,,,,,https://www.fishbase.ca/summary/Oxycirrhites_typus.html
synodus,binotatus,synodontidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,88.0,1.0,10.0,,,,,https://www.fishbase.se/summary/Synodus_binotatus.html
sargocentron,spiniferum,holocentridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,122.0,,,,,,,https://www.fishbase.ca/summary/Sargocentron_spiniferum.html
apogon,doryssa,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,4.0,21.0,,,,,,,https://www.fishbase.de/summary/Apogon_doryssa.html
coris,dorsomacula,labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,40.0,,,,,,,https://www.fishbase.se/summary/Coris_dorsomacula.html
amblypharyngodon,melettinus,cyprinidae,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,https://www.fishbase.net.br/summary/Amblypharyngodon_melettinus.html
osphronemus,laticlavius,osphronemidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Osphronemus_laticlavius.html
auchenipterichthys,coracoideus,auchenipteridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Auchenipterichthys_coracoideus.html
lepisosteus,platostomus,lepisosteidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Lepisosteus_platostomus.html
chaetodon,baronessa,chaetodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,5.0,20.0,,,,,,,https://www.fishbase.ca/summary/Chaetodon_baronessa.html
poeciliopsis,latidens,poeciliidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Poeciliopsis_latidens.html
dichistius,multifasciatus,dichistiidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Dichistius_multifasciatus.html
aplochiton,marinus,galaxiidae,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Aplochiton_marinus.html
schistura,robertsi,nemacheilidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Schistura_robertsi.html
rasbora,rutteni,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Rasbora_rutteni.html
scartella,emarginata,Blenniidae,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Scartella_emarginata.html
plectranthias,helenae,serranidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,110.0,168.0,,,,,,,https://www.fishbase.ca/summary/Plectranthias_helenae.html
encrasicholina,punctifer,Engraulidae,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,5.0,35.0,,,,,,,https://www.fishbase.de/summary/Encrasicholina_punctifer.html
karalla,daura,leiognathidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,40.0,,,,,,,https://www.fishbase.net.br/summary/Karalla_daura.html
ecsenius,isos,blenniidae,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,20.0,,,,,,,https://www.fishbase.se/summary/Ecsenius_isos.html
chelmon,marginalis,chaetodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,30.0,,,,,,,https://www.fishbase.ca/summary/Chelmon_marginalis.html
dascyllus,albisella,pomacentridae,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,50.0,,,,,,,https://www.fishbase.ca/summary/Dascyllus_albisella.html
pristipomoides,argyrogrammicus,lutjanidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,70.0,350.0,,,,,,,https://www.fishbase.se/summary/Pristipomoides_argyrogrammicus.html
neoglyphidodon,melas,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,12.0,,,,,,,https://www.fishbase.ca/summary/Neoglyphidodon_melas.html
gnatholepis,thompsoni,gobiidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,50.0,1.0,36.0,,,,,https://www.fishbase.de/summary/Gnatholepis_thompsoni.html
ogilbyina,salvati,pseudochromidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,15.0,,,,,,,https://www.fishbase.se/summary/Ogilbyina_salvati.html
acanthurus,triostegus,Acanthuridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,90.0,0.0,90.0,,,,,https://www.fishbase.net.br/summary/Acanthurus_triostegus.html
synodontis,violaceus,mochokidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Synodontis_violaceus.html
apogon,ellioti,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,18.0,106.0,,,,,,,https://www.fishbase.ca/summary/Apogon_ellioti.html
hemitaurichthys,polylepis,chaetodontidae,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,60.0,,,,,,,https://www.fishbase.se/summary/Hemitaurichthys_polylepis.html
astrapogon,puncticulatus,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,8.0,,,,,,,https://www.fishbase.ca/summary/Astrapogon_puncticulatus.html
scorpaenodes,parvipinnis,Scorpaenidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,49.0,,,,,,,https://www.fishbase.de/summary/Scorpaenodes_parvipinnis.html
scarus,oviceps,scaridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,20.0,,,,,,,https://www.fishbase.se/summary/Scarus_oviceps.html
ctenochaetus,strigosus,acanthuridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,113.0,,,,,,,https://www.fishbase.net.br/summary/Ctenochaetus_strigosus.html
notropis,blennius,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Notropis_blennius.html
brinkmannella,elongata,epigonidae,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Brinkmannella_elongata.html
thunnus,albacares,scombridae,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,1.0,1602.0,1.0,250.0,,,,,https://www.fishbase.se/summary/Thunnus_albacares.html
bodianus,albotaeniatus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Bodianus_albotaeniatus.html
thalassoma,loxum,labridae,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.0,2.0,,,,,,,https://www.fishbase.se/summary/Thalassoma_loxum.html
choerodon,cyanodus,labridae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Choerodon_cyanodus.html
pholis,gunnellus,pholidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.0,100.0,0.0,30.0,,,,,https://www.fishbase.net.br/summary/Pholis_gunnellus.html
pareuchiloglanis,poilanei,sisoridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Pareuchiloglanis_poilanei.html
galaxias,rostratus,galaxiidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Galaxias_rostratus.html
heteroclinus,perspicillatus,clinidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Heteroclinus_perspicillatus.html
myripristis,robusta,holocentridae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,34.0,45.0,,,,,,,https://www.fishbase.ca/summary/Myripristis_robusta.html
etheostoma,jordani,percidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Etheostoma_jordani.html
chiloglanis,waterloti,mochokidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.de/summary/Chiloglanis_waterloti.html
opistognathus,papuensis,opistognathidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Opistognathus_papuensis.html
microphysogobio,brevirostris,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,5.0,,,,,,,https://www.fishbase.ca/summary/Microphysogobio_brevirostris.html
grammistops,ocellatus,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,8.0,30.0,,,,,,,https://www.fishbase.ca/summary/Grammistops_ocellatus.html
salvelinus,fontinalis,salmonidae,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,15.0,27.0,,,,,,,https://www.fishbase.se/summary/Salvelinus_fontinalis.html
carnegiella,marthae,gasteropelecidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,5.5,6.5,,,https://www.fishbase.se/summary/Carnegiella_marthae.html
acrossocheilus,paradoxus,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,0.0,10.0,,,,,,,https://www.fishbase.ca/summary/Acrossocheilus_paradoxus.html
melichthys,vidua,balistidae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,60.0,,,,,,,https://www.fishbase.ca/summary/Melichthys_vidua.html
nematabramis,alestes,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Nematabramis_alestes.html
citharinops,distichodoides,citharinidae,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,https://www.fishbase.ca/summary/Citharinops_distichodoides.html
parapercis,albipinna,pinguipedidae,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,?,100.0,,,,,,,https://www.fishbase.ca/summary/Parapercis_albipinna.html
macropharyngodon,geoffroy,labridae,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,6.0,32.0,,,,,,,https://www.fishbase.se/summary/Macropharyngodon_geoffroy.html
noturus,miurus,Ictaluridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Noturus_miurus.html
sillago,sihama,sillaginidae,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,60.0,0.0,2.0,,,,,https://www.fishbase.de/summary/Sillago_sihama.html
plectranthias,nanus,serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,6.0,65.0,,,,,,,https://www.fishbase.ca/summary/Plectranthias_nanus.html
spratellomorpha,bianalis,clupeidae,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Spratellomorpha_bianalis.html
catostomus,clarkii,Catostomidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Catostomus_clarkii.html
halichoeres,hortulanus,Labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,40.0,1.0,30.0,,,,,https://www.fishbase.se/summary/Halichoeres_hortulanus.html
chromis,alpha,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,11.0,110.0,,,,,,,https://www.fishbase.ca/summary/Chromis_alpha.html
ostorhinchus,sealei,apogonidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,25.0,,,,,,,https://www.fishbase.de/summary/Ostorhinchus_sealei.html
plectorhinchus,polytaenia,haemulidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,5.0,40.0,,,,,,,https://www.fishbase.net.br/summary/Plectorhinchus_polytaenia.html
cheilinus,undulatus,labridae,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,0.0,100.0,,,,,,,https://www.fishbase.se/summary/Cheilinus_undulatus.html
dischistodus,fasciatus,pomacentridae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,8.0,,,,,,,https://www.fishbase.ca/summary/Dischistodus_fasciatus.html
trachinotus,africanus,carangidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,20.0,50.0,,,,,,,https://www.fishbase.ca/summary/Trachinotus_africanus.html
claea,dabryi,balitoridae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Claea_dabryi.html
maurolicus,muelleri,sternoptychidae,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,271.0,1524.0,300.0,400.0,,,,,https://www.fishbase.ca/summary/Maurolicus_muelleri.html
lotella,phycis,moridae,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Lotella_phycis.html
salvelinus,malma,salmonidae,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,200.0,,,,,,,https://www.fishbase.de/summary/Salvelinus_malma.html
fundulus,kansae,fundulidae,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,0.0,?,,,,,,,https://www.fishbase.net.br/summary/Fundulus_kansae.html
monodactylus,argenteus,monodactylidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,0.0,12.0,,,,,,,https://www.fishbase.ca/summary/Monodactylus_argenteus.html
arothron,mappa,tetraodontidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,4.0,30.0,,,,,,,https://www.fishbase.ca/summary/Arothron_mappa.html
cheilinus,fasciatus,labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,4.0,80.0,4.0,40.0,,,,,https://www.fishbase.se/summary/Cheilinus_fasciatus.html
sillago,aeolus,sillaginidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,60.0,,,,,,,https://www.fishbase.ca/summary/Sillago_aeolus.html
pseudogramma,polyacantha,Serranidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,65.0,,,,,,,https://www.fishbase.de/summary/Pseudogramma_polyacantha.html
pseudocoris,yamashiroi,Labridae,,,,,,,1.0,,,,,1.0,,,,,,,,,,5.0,90.0,,,,,,,https://www.fishbase.se/summary/Pseudocoris_yamashiroi.html
basilichthys,semotilus,atherinopsidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Basilichthys_semotilus.html
noturus,insignis,Ictaluridae,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Noturus_insignis.html
parascolopsis,tanyactis,nemipteridae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,40.0,250.0,,,,,,,https://www.fishbase.ca/summary/Parascolopsis_tanyactis.html
pervagor,melanocephalus,monacanthidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,20.0,40.0,20.0,?,,,,,https://www.fishbase.se/summary/Pervagor_melanocephalus.html
fowleria,aurita,apogonidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,37.0,,,,,,,https://www.fishbase.se/summary/Fowleria_aurita.html
polydactylus,plebeius,polynemidae,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,?,122.0,,,,,,,https://www.fishbase.de/summary/Polydactylus_plebeius.html
hoplosternum,littorale,callichthyidae,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,?,,,,,,,https://www.fishbase.ca/summary/Hoplosternum_littorale.html
periophthalmus,argentilineatus,gobiidae,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,0.0,1.0,,,,,,,https://www.fishbase.net.br/summary/Periophthalmus_argentilineatus.html
galaxias,globiceps,galaxiidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Galaxias_globiceps.html
acanthurus,xanthopterus,acanthuridae,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,100.0,5.0,90.0,,,,,https://www.fishbase.ca/summary/Acanthurus_xanthopterus.html
