genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
morone,mississippiensis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
saurida,undosquamis,,1.0,1,350,,,,,,,,,1.0,,1.0,,,,,,,,,,
dipturus,batis,1.0,1.0,100,1000,30,600,,,,,,,,,,,,,,,,,,,
caesio,caerulaurea,,1.0,1,60,,,,,,,,,1.0,,,,1.0,,,,,,,,
carassius,auratus,,,0,20,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,1.0,,1.0,,,,,,,
pectenocypris,korthausae,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
homaloptera,ocellata,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
halichoeres,leucurus,,1.0,1,15,,,,,,,,,1.0,,,,,,,,,,,,
priolepis,semidoliata,,1.0,2,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
malapterurus,beninensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
sternopygus,macrurus,,,,,,,1.0,1.0,6.0,6.0,4.0,4.0,,,,,,,,,,,,,
notropis,shumardi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
astatoreochromis,straeleni,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
arothron,stellatus,,1.0,3,58,,,,,,,,,1.0,,,1.0,,,,,,,,,
labeobarbus,caudovittatus,,,,,,,1.0,1.0,6.5,6.5,15.0,15.0,,,,,,,,,,,,,
chelmon,marginalis,,1.0,1,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
raiamas,guttatus,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
amblygobius,nocturnus,,1.0,1,30,,,,,,,,,1.0,,,,,,,,,,,,
amblyeleotris,diagonalis,,1.0,6,40,,,,,,,,,1.0,,,,,,,,,,,,
halichoeres,socialis,,1.0,0,7,,,,,,,,,1.0,,,,,,,,,,,,
enneacanthus,gloriosus,1.0,,,,,,,1.0,7.0,7.0,8.0,8.0,,,,,,,,,,,,,
hyphessobrycon,condotensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
istiblennius,rivulatus,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
gila,pandora,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
neolissochilus,soroides,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gymnothorax,margaritophorus,,1.0,1,25,,,,,,,,,1.0,,,,,,,,,,,,
ilyodon,furcidens,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
calotomus,zonarchus,,1.0,12,170,,,,,,,,,1.0,,,,,,,,,,,,
enteromius,macrops,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
synodontis,obesus,,,,,,,1.0,1.0,6.0,6.0,25.0,25.0,,,,,,,,,,,,,
variola,louti,,1.0,3,300,15,?,,,,,,,1.0,,,,1.0,,,,,,,,
pimephales,promelas,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cheilio,inermis,,1.0,1,30,2,30,,,,,,,1.0,,,,,,,,,,,,
