genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
carassius,carassius,1.0,,5,?,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
citharoides,macrolepidotus,1.0,1.0,121,271,,,,,,,,,,,,,,,,,,,,,
apteronotus,bonapartii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
piaractus,brachypomus,,,,,,,,1.0,4.8,4.8,15.0,15.0,,1.0,,,,,,,,,,,
centrarchus,macropterus,1.0,,,,,,,1.0,6.5,6.5,10.0,10.0,,,,,,,,,,,,,
callionymus,decoratus,1.0,1.0,1,134,,,,,,,,,,,,,,,,,,,,,
chrysichthys,sianenna,1.0,,,,25,75,,1.0,,,,,,,,,,,,,,,,,
pseudocaranx,dentex,,1.0,10,238,10,25,,,,,,,1.0,,,1.0,,,,,,,,,
hemigrammus,gracilis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parascorpaena,mossambica,,1.0,0,18,,,,,,,,,1.0,,,,,,,,,,,,
dibranchus,tremendus,,1.0,750,2300,,,,,,,,,,,,,,,1.0,,,,,,
ostorhinchus,angustatus,,1.0,6,65,,,,,,,,,1.0,,,,,,,,,,,,
triglops,pingelii,1.0,1.0,0,930,18,91,,,,,,,,,,,,,,,,,,,
sebastapistes,mauritiana,,1.0,0,10,0,5,,,,,,,1.0,,,,,,,,,,,,
pseudochromis,cyanotaenia,,1.0,0,30,0,20,,,,,,,1.0,,,,,,,,,,,,
asterropteryx,semipunctata,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
terapon,jarbua,1.0,1.0,20,350,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
epinephelus,marginatus,,1.0,8,300,?,50,,,,,,,1.0,,,,,,,,,,,,
parascolopsis,eriomma,1.0,1.0,25,264,,,,,,,,,,,,,1.0,,,,,,,,
geophagus,brasiliensis,,,,,,,1.0,1.0,6.5,6.5,5.0,5.0,,,,1.0,,1.0,,,,,,,
pangio,myersi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
barbus,barbus,,,10,?,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
tautogolabrus,adspersus,,1.0,10,128,,,,,,,,,1.0,,,,,,,,,,,,
menidia,menidia,,1.0,0,3,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
epinephelus,morrhua,,1.0,80,370,,,,,,,,,1.0,,,,1.0,,,,,,,,
choerodon,graphicus,,1.0,15,40,,,,,,,,,1.0,,,,,,,,,,,,
neolebias,kerguennae,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
cosmochilus,harmandi,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
lythrurus,umbratilis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
abudefduf,sexfasciatus,,1.0,1,20,,,,,,,,,1.0,,,,1.0,,,,,,,,
noturus,elegans,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
mycteroperca,microlepis,,1.0,30,160,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
rhodeus,atremius,,,,,,,1.0,1.0,6.8,6.8,20.0,20.0,,,,,,,,,,,,,
trimma,striatum,,1.0,20,30,,,,,,,,,1.0,,,,,,,,,,,,
notropis,ammophilus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepomis,macrochirus,,,,,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
iniistius,pavo,,1.0,1,100,20,?,,,,,,,1.0,,,,,,,,,,,,
novaculichthys,taeniourus,,1.0,3,25,?,14,,,,,,,1.0,,,,,,,,,,,,
histiobranchus,bathybius,,1.0,295,5440,?,2420,1.0,,,,,,,,,,,,,,,,,,
tor,khudree,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
enteromius,radiatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hysterocarpus,traskii,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
variola,albimarginata,,1.0,4,200,12,90,,,,,,,1.0,,,,,,,,,,,,
cyprinella,venusta,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
chlorurus,capistratoides,,1.0,5,15,,,,,,,,,1.0,,,,,,,,,,,,
halichoeres,scapularis,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
agosia,chrysogaster,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
chaunax,nudiventer,,1.0,282,1089,,,,,,,,,,,,,,,1.0,,,,,,
crossocheilus,cobitis,,,,,,,1.0,1.0,6.5,6.5,5.0,5.0,,,,,,,,,,,,,
apogon,talboti,,1.0,0,37,,,,,,,,,1.0,,,,,,,,,,,,
kyphosus,sydneyanus,1.0,1.0,1,20,,,,,,,,,,,,1.0,,,,,,,,,
antennarius,striatus,,1.0,10,219,?,40,,,,,,,1.0,,,1.0,,,,,,,,,
mycteroperca,tigris,,1.0,10,40,,,,,,,,,1.0,,,,,,,,,,,,
carasobarbus,apoensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ariopsis,seemanni,1.0,1.0,,,,,,1.0,6.8,6.8,8.0,8.0,,,,1.0,,,,,,,,,
ostorhinchus,hoevenii,,1.0,20,30,,,,,,,,,1.0,,,1.0,,,,,,,,,
neobythites,sereti,,1.0,?,1500,,,,,,,,,,,,,,,1.0,,,,,,
cobitis,hellenica,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rhonciscus,crocro,1.0,1.0,0,120,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
noturus,flavus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
atractosteus,spatula,1.0,,0,?,,,,1.0,,,,,,,,1.0,,,,,,,,,
lutjanus,carponotatus,,1.0,1,80,,,,,,,,,1.0,,,,,,,,,,,,
scorpaenopsis,diabolus,,1.0,1,70,,,,,,,,,1.0,,,,,,,,,,,,
albula,vulpes,,1.0,0,84,1,15,,,,,,,1.0,,1.0,1.0,,,,,,,,,
scarus,iseri,,1.0,3,25,,,,,,,,,1.0,,,,,,,,,,,,
notropis,chalybaeus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
horabagrus,brachysoma,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
hydrocynus,vittatus,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
hyporthodus,mystacinus,,1.0,30,400,,,,,,,,,,,,,,,1.0,,,,,,
chiloglanis,sanagaensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
bagrus,degeni,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
amphiprion,clarkii,,1.0,1,70,,,,,,,,,1.0,,,,1.0,,,,,,,,
pseudobagrus,pratti,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ostracion,meleagris,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
bathygobius,meggitti,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
labeobarbus,polylepis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
kyphosus,bigibbus,,1.0,2,?,,,,,,,,,1.0,,,,,,,1.0,,,,,
notropis,leuciodus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
toxotes,chatareus,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
chaetostoma,thomsoni,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
plectorhinchus,polytaenia,,1.0,5,40,,,,,,,,,1.0,,,,,,,,,,,,
richardsonius,egregius,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
aplochiton,zebra,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
scorpaenopsis,barbata,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
ericymba,amplamala,,,0,1,,,,1.0,,,,,,1.0,,,,,,,,,,,
engraulis,encrasicolus,,1.0,0,400,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
tylochromis,jentinki,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
peristedion,brevirostre,,1.0,55,550,200,?,,,,,,,,,,,,,1.0,,,,,,
ostorhinchus,taeniophorus,,1.0,0,15,,,,,,,,,1.0,,,,,,,,,,,,
bunaka,gyrinoides,1.0,1.0,0,5,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
notropis,mekistocholas,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
plectorhinchus,cinctus,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
characidium,crandellii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
elassoma,evergladei,1.0,,,,,,,1.0,7.0,7.0,8.0,8.0,,,,,,,,,,,,,
chrosomus,neogaeus,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
alepes,djedaba,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
salmo,salar,,1.0,0,210,10,23,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
notropis,uranoscopus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
noturus,exilis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
omobranchus,obliquus,,1.0,0,3,,,,,,,,,1.0,,,1.0,,,,,,,,,
notropis,rubellus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
monotrete,leiurus,1.0,,,,,,,1.0,7.0,7.0,12.0,12.0,,,,1.0,,,,,,,,,
helcogramma,obtusirostris,1.0,1.0,0,30,,,,,,,,,,,,1.0,,,,,,,,,
chrysichthys,ansorgii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lagocephalus,sceleratus,,1.0,18,100,,,,,,,,,1.0,,,,,,,,,,,,
entomacrodus,vermiculatus,1.0,1.0,0,2,,,,,,,,,,,,,,,,,,,,,
plesiops,coeruleolineatus,,1.0,1,23,3,23,,,,,,,1.0,,,,,,,,,,,,
sierrathrissa,leonensis,,,0,8,,,,1.0,,,,,,1.0,,,,,,,,,,,
myripristis,amaena,,1.0,25,190,25,52,,,,,,,1.0,,,,1.0,,,,,,,,
enteromius,niokoloensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
claea,dabryi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,longirostris,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
kentrocapros,aculeatus,1.0,1.0,100,200,,,,,,,,,,,,,,,,,,,,,
canthigaster,coronata,,1.0,6,165,,,,,,,,,1.0,,,,,,,,,,,,
wetmorella,nigropinnata,,1.0,0,36,,,,,,,,,1.0,,,,,,,,,,,,
coregonus,lavaretus,1.0,,,,,,,1.0,7.0,7.0,20.0,20.0,,,,1.0,,,,,,1.0,,,
terapon,theraps,,1.0,?,10,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,
meda,fulgida,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ostorhinchus,fasciatus,,1.0,2,128,15,30,,,,,,,1.0,,,,,,,,,,,,
synodus,variegatus,,1.0,0,121,5,60,,,,,,,1.0,,,,,,,,,,,,
notropis,nubilus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
brycinus,nurse,,,,,,,,1.0,6.0,6.0,30.0,30.0,,1.0,,,,1.0,,,,,,,
chrysiptera,unimaculata,,1.0,0,3,,,,,,,,,1.0,,,,1.0,,,,,,,,
cirrhilabrus,punctatus,,1.0,2,78,5,28,,,,,,,1.0,,,,,,,,,,,,
malakichthys,wakiyae,,1.0,?,200,,,,,,,,,,,,,,,,,1.0,,,,
alepocephalus,australis,,1.0,1000,2600,,,,,,,,,,,,,,,1.0,,,,,,
oplopomus,oplopomus,,1.0,1,30,1,20,,,,,,,1.0,,,,,,,,,,,,
mystus,nigriceps,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,1.0,,,,,,,
notropis,rupestris,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
coptodon,zillii,,,1,7,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,1.0,,1.0,,,,,,,
anampses,melanurus,,1.0,15,110,,,,,,,,,1.0,,,,,,,,,,,,
carasobarbus,fritschii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,lutipinnis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
characidium,declivirostre,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
paravandellia,oxyptera,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
phenacogaster,microstictus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cottus,cognatus,1.0,,6,128,,,,1.0,,,,,,,,1.0,,,,,,,,,
enteromius,dialonensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
corythoichthys,schultzi,,1.0,2,30,,,,,,,,,1.0,,,,,,,,,,,,
pseudocheilinus,evanidus,,1.0,0,61,?,20,,,,,,,1.0,,,,,,,,,,,,
archocentrus,spinosissimus,,,,,,,1.0,1.0,7.5,7.5,,,,,,,,,,,,,,,
labidochromis,lividus,,,1,8,,,1.0,1.0,7.7,7.7,7.0,7.0,,,,,,,,,,,,,
brachyrhaphis,cascajalensis,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,
brachypetersius,pseudonummifer,,,,,,,,1.0,6.0,6.0,10.0,10.0,,1.0,,,,,,,,,,,
leptojulis,cyanopleura,,1.0,4,75,,,,,,,,,1.0,,,,,,,,,,,,
dascyllus,aruanus,,1.0,0,20,,,,,,,,,1.0,,,,1.0,,,,,,,,
pseudocoris,yamashiroi,,1.0,5,90,,,,,,,,,1.0,,,,,,,,,,,,
aspidontus,dussumieri,,1.0,1,20,,,,,,,,,1.0,,,,,,,,,,,,
cottus,bairdii,1.0,,?,16,,,,1.0,,,,,,,,,,,,,,,,,
pinjalo,lewisi,,1.0,20,150,,,,,,,,,1.0,,,,,,,,,,,,
petroscirtes,mitratus,,1.0,0,8,,,,,,,,,1.0,,,,,,,,,,,,
centropomus,undecimalis,,1.0,?,22,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
pseudojuloides,cerasinus,,1.0,2,104,,,,,,,,,1.0,,,,,,,,,,,,
nanobagrus,torquatus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
istiblennius,edentulus,,1.0,0,5,0,1,,,,,,,1.0,,,1.0,,,,,,,,,
labidochromis,chisumulae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
epinephelus,multinotatus,,1.0,1,110,,,,,,,,,1.0,,,,,,,,,,,,
nemacheilus,masyai,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
fundulus,lineolatus,,,,,,,1.0,1.0,6.8,6.8,,,,,,,1.0,,,,,,,,
enteromius,bigornei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
macropharyngodon,ornatus,,1.0,2,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
abalistes,stellatus,1.0,1.0,7,350,,,,,,,,,,,1.0,,,,,,,,,,
hologymnosus,annulatus,,1.0,8,40,,,,,,,,,1.0,,,,,,,,,,,,
chelonodontops,patoca,,1.0,4,60,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,
kyphosus,sectatrix,,1.0,1,30,1,10,,,,,,,1.0,,,,,,,,,,,,
iniistius,pentadactylus,,1.0,2,30,,,,,,,,,1.0,,,,,,,,,,,,
rhodeus,sciosemus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
mystus,singaringan,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
epinephelus,longispinis,,1.0,1,70,,,,,,,,,1.0,,,,,,,,,,,,
mugil,cephalus,,1.0,0,120,0,10,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0
etheostoma,olmstedi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,sonnerati,,1.0,10,150,20,150,,,,,,,1.0,,,,1.0,,,,,,,,
catostomus,catostomus,1.0,,?,180,,,,1.0,6.5,6.5,5.0,5.0,,,,1.0,,,,,,,,,
boops,boops,1.0,1.0,0,350,0,100,,,,,,,,,,,,,,1.0,,,,,
mormyrus,subundulatus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lethrinus,lentjan,,1.0,10,90,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
sargocentron,punctatissimum,,1.0,0,183,1,30,,,,,,,1.0,,,,,,,,,,,,
pomoxis,nigromaculatus,,,0,?,,,1.0,1.0,6.0,6.0,,,,,,,,,,,,,,,
samariscus,sunieri,1.0,1.0,118,276,,,,,,,,,,,,,,,,,,,,,
catostomus,rimiculus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
epinephelus,akaara,,1.0,1,55,,,,,,,,,1.0,,,,,,,,,,,,
codoma,ornata,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
dionda,argentosa,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gymnocaesio,gymnoptera,,1.0,0,500,,,,,,,,,1.0,,,,1.0,,,,,,,,
dionda,episcopa,,,,,,,1.0,1.0,7.4,7.4,7.0,7.0,,,,,,,,,,,,,
narcine,bancroftii,1.0,1.0,?,35,,,,,,,,,,,,,,,,,,,,,
etmopterus,lucifer,,1.0,150,1357,,,,,,,,,,,,,,,,,,,1.0,,
labeobarbus,jubae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lactoria,diaphana,,1.0,8,50,,,,,,,,,1.0,,,1.0,,,,,,,,,
amphilius,atesuensis,1.0,,,,,,,1.0,6.5,6.5,10.0,10.0,,,,,,,,,,,,,
stenogobius,hawaiiensis,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
eviota,afelei,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
cromeria,nilotica,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scorpaena,orgila,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
notropis,bifrenatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gila,coerulea,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,micropteryx,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
catostomus,santaanae,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lepisosteus,platostomus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
astyanax,leopoldi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scomberoides,lysan,,1.0,0,100,,,,,,,,,1.0,,,1.0,,,,,,,,,
epinephelus,areolatus,,1.0,6,200,,,,,,,,,1.0,,,,,,,,,,,,
paralichthys,adspersus,1.0,1.0,1,35,,,,,,,,,,,,,,,,,,,,,
kyphosus,lutescens,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
fundulus,grandis,,,,,,,1.0,1.0,8.9,8.9,17.0,17.0,,,,1.0,,1.0,,,,,,,
scolopsis,taeniata,,1.0,20,50,,,,,,,,,1.0,,,,,,,,,,,,
japigny,kirschbaum,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
moxostoma,lacerum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
gambusia,heterochir,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
herichthys,cyanoguttatus,,,,,,,1.0,1.0,6.5,6.5,5.0,5.0,,,,,,,,,,,,,
notropis,ozarcanus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parambassis,siamensis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pteronotropis,metallicus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
macquaria,ambigua,1.0,,10,?,,,,1.0,,,,,,,,,,1.0,,,,,,,
coris,debueni,,1.0,1,60,,,,,,,,,1.0,,,,,,,,,,,,
chromis,ovalis,,1.0,6,161,,,,,,,,,1.0,,,,1.0,,,,,,,,
catostomus,latipinnis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cyprinella,callistia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
galaxias,brevipinnis,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
cichlasoma,boliviense,,,,,,,1.0,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
gila,nigra,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
dalatias,licha,,1.0,37,1800,300,600,,,,,,,,,,,,,1.0,,,,,,
chaenobryttus,gulosus,1.0,,,,,,,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
hybognathus,argyritis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
peristedion,longispatha,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
cichlasoma,urophthalmum,,,2,?,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
noturus,munitus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
bryconacidnus,paipayensis,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
mallotus,villosus,,1.0,0,725,?,200,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,
sargocentron,ittodai,,1.0,5,190,5,70,,,,,,,1.0,,,,,,,,,,,,
hyphessobrycon,eques,,,,,,,1.0,1.0,5.0,5.0,10.0,10.0,,,,,,,,,,,,,
labeobarbus,cardozoi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
priapichthys,darienensis,,,,,,,1.0,1.0,7.2,7.2,5.0,5.0,,,,,,,,,,,,,
mystus,pelusius,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
amphiprion,chrysogaster,,1.0,2,40,,,,,,,,,1.0,,,,1.0,,,,,,,,
chromis,weberi,,1.0,3,40,,,,,,,,,1.0,,,,1.0,,,,,,,,
herklotsichthys,quadrimaculatus,,1.0,0,13,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,
notropis,scabriceps,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
botia,birdi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
coris,flavovittata,,1.0,1,98,15,?,,,,,,,1.0,,,,,,,,,,,,
notropis,chrosomus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lythrurus,bellus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
placidochromis,lineatus,,,123,125,,,1.0,1.0,,,,,,,,,,,,,,,,,
enneacanthus,chaetodon,1.0,,,,,,,1.0,6.5,6.5,10.0,10.0,,,,,,,,,,,,,
scarus,ghobban,,1.0,1,90,,,,,,,,,1.0,,,1.0,,,,,,,,,
glyptothorax,buchanani,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
monotaxis,grandoculis,,1.0,0,100,5,30,,,,,,,1.0,,,,1.0,,,,,,,,
megalops,atlanticus,,1.0,0,40,0,15,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
plectroglyphidodon,leucozonus,,1.0,0,6,,,,,,,,,1.0,,,,1.0,,,,,,,,
gymnothorax,atolli,1.0,1.0,?,8,,,,,,,,,,,,,,,,,,,,,
valenciennea,persica,,1.0,2,12,,,,,,,,,1.0,,,,,,,,,,,,
norfolkia,brachylepis,,1.0,1,25,2,7,,,,,,,1.0,,,,,,,,,,,,
brachyrhaphis,parismina,,,,,,,,1.0,7.0,7.0,4.0,4.0,,1.0,,,1.0,,,,,,,,
marcusenius,moorii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
epinephelus,undulosus,,1.0,24,90,,,,,,,,,1.0,,,,,,,,,,,,
heteropriacanthus,cruentatus,,1.0,3,300,3,35,,,,,,,1.0,,,,,,,,,,,,
pterois,volitans,,1.0,2,55,,,,,,,,,1.0,,,,,,,,,,,,
hypoclinemus,mentalis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
isorineloricaria,spinosissima,1.0,,,,,,,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
parachromis,managuensis,,,3,10,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
poropuntius,bolovenensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
fowleria,isostigma,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,malabaricus,,1.0,0,150,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,
notropis,rafinesquei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,atrocaudalis,,,?,50,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,cyanostigma,,1.0,1,50,,,,,,,,,1.0,,,,1.0,,,,,,,,
pangio,agma,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
scorpaenodes,guamensis,,1.0,0,20,0,5,,,,,,,1.0,,,,,,,,,,,,
ostracion,nasus,,1.0,2,80,,,,,,,,,1.0,,,,,,,,,,,,
moolgarda,cunnesius,1.0,1.0,0,3,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
syngnathus,scovelli,1.0,1.0,0,6,?,6,,1.0,,,,,,,,1.0,,,,,,,,,
pseudolabrus,fuentesi,,1.0,?,15,,,,,,,,,1.0,,,,,,,,,,,,
erimystax,dissimilis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ivindomyrus,opdenboschi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
chlorurus,frontalis,,1.0,10,40,,,,,,,,,1.0,,,,,,,,,,,,
pomacentrus,coelestis,,1.0,1,20,,,,,,,,,1.0,,,,1.0,,,,,,,,
gila,crassicauda,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scleronema,minutum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ctenochaetus,striatus,,1.0,0,60,6,30,,,,,,,1.0,,,,,,,,,,,,
moenkhausia,costae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
plectorhinchus,sordidus,,1.0,2,80,,,,,,,,,1.0,,,,,,,,,,,,
sardinella,longiceps,,1.0,20,200,,,,,,,,,,,,,,,,1.0,1.0,,,,
gnathopogon,imberbis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rhinichthys,obtusus,,,2,5,,,,1.0,,,,,,1.0,,,,,,,,,,,
micropanchax,johnstoni,,,,,,,1.0,1.0,6.5,6.5,,,,,,,1.0,,,,,,,,
sebastapistes,strongia,,1.0,0,37,0,3,,,,,,,1.0,,,,,,,,,,,,
spondyliosoma,cantharus,,1.0,5,300,,,1.0,,,,,,,,,,,,,1.0,,,,,
ptereleotris,melanopogon,1.0,1.0,22,42,,,,,,,,,,,,,,,,,,,,,
enteromius,anniae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
brotula,multibarbata,,1.0,1,650,180,220,,,,,,,1.0,,,,,,,,,,,,
hoplias,malabaricus,,,,,,,1.0,1.0,6.0,6.0,4.0,4.0,,,,,,1.0,,,,,,,
sarotherodon,tournieri,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cirripectes,variolosus,,1.0,0,31,1,5,,,,,,,1.0,,,,,,,,,,,,
cosmocampus,banneri,,1.0,2,30,,,,,,,,,1.0,,,,,,,,,,,,
spirinchus,thaleichthys,,1.0,?,137,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
astyanax,nasutus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pseudobunocephalus,amazonicus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
sikukia,gudgeri,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
gila,elegans,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
lutjanus,sebae,,1.0,5,180,,,,,,,,,1.0,,,1.0,,,,,,,,,
